row_id,trial,finger,game,game_label,hand,on_target,spillover,individuation,on_target_cal,spillover_cal,individuation_cal,corrected,comparable,why_not,excluded
7,8,Pinky,2026-08-05/NA_092225_rhythm,09:22 rhythm,right,99.908,4.816,0.954012451778007,0.7131192005710207,0.07226163132147063,0.9079916030706459,True,True,,False
48,49,Index,2026-08-05/NA_092225_rhythm,09:22 rhythm,right,22.607,11.664,0.6596539348136908,0.5609677419354839,0.08845454858384658,0.8637950223218991,True,True,,False
56,3,Pinky,2026-08-05/NA_121101_classic,12:11 classic,right,86.715,21.914,0.7982674976295464,0.6189507494646681,0.3615213487963203,0.6312782898794044,True,True,,False
57,4,Ring,2026-08-05/NA_121101_classic,12:11 classic,right,35.296,10.190999999999999,0.7759579660122673,0.43737298636926886,0.08471853066598785,0.8377324129932822,True,True,,False
58,5,Middle,2026-08-05/NA_121101_classic,12:11 classic,right,20.052,6.461,0.7563082261532079,0.1824567788898999,0.08459610541754684,0.6832233973546794,True,True,,False
59,6,Pinky,2026-08-05/NA_121101_classic,12:11 classic,right,68.525,15.972,0.8109755375930507,0.4891149179157745,0.2643224442613851,0.6491779442718509,True,True,,False
60,1,Ring,2026-08-05/NA_121450_classic,12:14 classic,right,17.947,31.450000000000003,0.3633216592100734,0.22239157372986368,0.323180185791752,0.40763028849746114,True,True,,False
61,2,Pinky,2026-08-05/NA_121450_classic,12:14 classic,right,108.549,23.343,0.8230142844145211,0.774796573875803,0.3247018870871874,0.7046818175599819,True,True,,False
62,3,Middle,2026-08-05/NA_121450_classic,12:14 classic,right,24.159,22.669999999999998,0.5158982681671614,0.2198271155595996,0.2626488113597496,0.4556229716230919,True,True,,False
63,4,Index,2026-08-05/NA_121450_classic,12:14 classic,right,37.284,32.588,0.5336043050148843,0.9251612903225807,0.28371144409770954,0.7653090883601058,True,True,,False
64,5,Pinky,2026-08-05/NA_121450_classic,12:14 classic,right,90.376,23.686999999999998,0.7923340610013765,0.6450820842255532,0.3576933572201071,0.643296652035639,True,True,,False
65,6,Middle,2026-08-05/NA_121450_classic,12:14 classic,right,21.245,13.072000000000001,0.6190809219920157,0.19331210191082804,0.13892120480458398,0.5818564785752122,True,True,,False
66,1,Pinky,2026-08-05/NA_134350_adaptive,13:43 adaptive,right,32.122,34.602000000000004,0.48141598225526044,0.2292790863668808,0.554212591418797,0.2926375517030055,True,True,,False
67,2,Ring,2026-08-05/NA_134350_adaptive,13:43 adaptive,right,22.718,42.844,0.3465116988499436,0.28151177199504335,0.4419312785438452,0.38912775758277984,True,True,,False
