iso_ts,t_perf,sample_idx,fsr1,fsr2,fsr3,fsr4,event,lane,detail
2026-05-27T13:46:16.773799,113090.219696,-1,0,0,0,0,stim,1,trial=1
2026-05-27T13:46:17.780000,113091.225881,-1,0,0,0,0,timeout,1,trial=1;rt_ms=1005.58
2026-05-27T13:46:18.391117,113091.836992,-1,0,0,0,0,stim,2,trial=2
2026-05-27T13:46:19.399118,113092.844982,-1,0,0,0,0,timeout,2,trial=2;rt_ms=1007.2
2026-05-27T13:46:20.010906,113093.456762,-1,0,0,0,0,stim,2,trial=3
2026-05-27T13:46:21.016872,113094.462715,-1,0,0,0,0,timeout,2,trial=3;rt_ms=1005.35
2026-05-27T13:46:21.629714,113095.075549,-1,0,0,0,0,stim,0,trial=4
2026-05-27T13:46:22.446431,113095.892255,-1,0,0,0,0,resp,0,rt_ms=816.35;grade=Late
2026-05-27T13:46:23.057479,113096.503297,-1,0,0,0,0,stim,2,trial=5
2026-05-27T13:46:23.584605,113097.030415,-1,0,0,0,0,resp,2,rt_ms=526.76;grade=Late
2026-05-27T13:46:24.196286,113097.642092,-1,0,0,0,0,stim,2,trial=6
2026-05-27T13:46:24.605923,113098.051722,-1,0,0,0,0,resp,2,rt_ms=409.04;grade=Good
2026-05-27T13:46:25.216632,113098.662423,-1,0,0,0,0,stim,3,trial=7
2026-05-27T13:46:25.728535,113099.174319,-1,0,0,0,0,resp,3,rt_ms=511.26;grade=Late
2026-05-27T13:46:26.339515,113099.785291,-1,0,0,0,0,stim,0,trial=8
2026-05-27T13:46:26.783449,113100.229219,-1,0,0,0,0,resp,0,rt_ms=443.52;grade=Good
2026-05-27T13:46:27.395409,113100.841173,-1,0,0,0,0,stim,3,trial=9
2026-05-27T13:46:27.804589,113101.250347,-1,0,0,0,0,resp,3,rt_ms=408.71;grade=Good
2026-05-27T13:46:28.415755,113101.861505,-1,0,0,0,0,stim,1,trial=10
2026-05-27T13:46:28.841173,113102.286917,-1,0,0,0,0,resp,1,rt_ms=424.98;grade=Good
2026-05-27T13:46:29.453844,113102.899581,-1,0,0,0,0,stim,0,trial=11
2026-05-27T13:46:29.860511,113103.306244,-1,0,0,0,0,resp,0,rt_ms=406.12;grade=Good
2026-05-27T13:46:30.472087,113103.917813,-1,0,0,0,0,stim,2,trial=12
2026-05-27T13:46:30.914798,113104.360518,-1,0,0,0,0,resp,2,rt_ms=442.28;grade=Good
2026-05-27T13:46:31.526036,113104.971748,-1,0,0,0,0,stim,0,trial=13
2026-05-27T13:46:31.919328,113105.365035,-1,0,0,0,0,resp,0,rt_ms=392.9;grade=Good
2026-05-27T13:46:32.531587,113105.977287,-1,0,0,0,0,stim,2,trial=14
2026-05-27T13:46:32.974624,113106.420317,-1,0,0,0,0,resp,2,rt_ms=442.4;grade=Good
2026-05-27T13:46:33.585603,113107.031290,-1,0,0,0,0,stim,0,trial=15
2026-05-27T13:46:34.589885,113108.035561,-1,0,0,0,0,timeout,0,trial=15;rt_ms=1003.63
2026-05-27T13:46:35.198506,113108.644172,-1,0,0,0,0,stim,1,trial=16
2026-05-27T13:46:35.931181,113109.376839,-1,0,0,0,0,resp,1,rt_ms=731.99;grade=Late
2026-05-27T13:46:36.542521,113109.988171,-1,0,0,0,0,stim,1,trial=17
2026-05-27T13:46:37.241432,113110.687073,-1,0,0,0,0,resp,1,rt_ms=698.28;grade=Late
2026-05-27T13:46:37.852130,113111.297764,-1,0,0,0,0,stim,2,trial=18
2026-05-27T13:46:38.483038,113111.928665,-1,0,0,0,0,resp,2,rt_ms=630.34;grade=Late
2026-05-27T13:46:39.093933,113112.539551,-1,0,0,0,0,stim,2,trial=19
2026-05-27T13:46:39.722672,113113.168283,-1,0,0,0,0,resp,2,rt_ms=628.05;grade=Late
2026-05-27T13:46:40.334108,113113.779711,-1,0,0,0,0,stim,0,trial=20
2026-05-27T13:46:40.895710,113114.341305,-1,0,0,0,0,resp,0,rt_ms=561.15;grade=Late
2026-05-27T13:46:41.503813,113114.949399,-1,0,0,0,0,stim,3,trial=21
2026-05-27T13:46:42.067527,113115.513107,-1,0,0,0,0,resp,3,rt_ms=563.26;grade=Late
2026-05-27T13:46:42.679880,113116.125454,-1,0,0,0,0,stim,2,trial=22
2026-05-27T13:46:42.884311,113116.329881,-1,0,0,0,0,resp,2,rt_ms=204.0;grade=Good
2026-05-27T13:46:43.480730,113116.926293,-1,0,0,0,0,resp_early,2,rt_ms=-4.19
2026-05-27T13:46:43.496612,113116.942174,-1,0,0,0,0,stim,1,trial=23
2026-05-27T13:46:43.515087,113116.960649,-1,0,0,0,0,resp,1,rt_ms=17.96;grade=Great
2026-05-27T13:46:44.041032,113117.486588,-1,0,0,0,0,resp_early_correct,0,trial=24;rt_ms=-74.58;grade=Great
2026-05-27T13:46:44.091937,113117.537493,-1,0,0,0,0,resp_early,1,rt_ms=-23.81
2026-05-27T13:46:44.125462,113117.571016,-1,0,0,0,0,stim,3,trial=25
2026-05-27T13:46:44.227744,113117.673296,-1,0,0,0,0,resp_wrong,0,trial=25;correct_lane=3
2026-05-27T13:46:44.227750,113117.673300,-1,0,0,0,0,resp_wrong,2,trial=25;correct_lane=3
2026-05-27T13:46:44.227752,113117.673302,-1,0,0,0,0,resp_wrong,1,trial=25;correct_lane=3
2026-05-27T13:46:44.345949,113117.791501,-1,0,0,0,0,resp_wrong,0,trial=25;correct_lane=3
2026-05-27T13:46:44.363408,113117.808958,-1,0,0,0,0,resp_wrong,2,trial=25;correct_lane=3
2026-05-27T13:46:44.363412,113117.808961,-1,0,0,0,0,resp_wrong,1,trial=25;correct_lane=3
2026-05-27T13:46:44.499738,113117.945287,-1,0,0,0,0,resp,3,rt_ms=373.89;grade=Good
2026-05-27T13:46:45.109932,113118.555474,-1,0,0,0,0,stim,3,trial=26
2026-05-27T13:46:45.127310,113118.572850,-1,0,0,0,0,resp_wrong,0,trial=26;correct_lane=3
2026-05-27T13:46:45.144675,113118.590215,-1,0,0,0,0,resp_wrong,1,trial=26;correct_lane=3
2026-05-27T13:46:45.161339,113118.606880,-1,0,0,0,0,resp_wrong,2,trial=26;correct_lane=3
2026-05-27T13:46:45.280172,113118.725711,-1,0,0,0,0,resp_wrong,2,trial=26;correct_lane=3
2026-05-27T13:46:45.297061,113118.742600,-1,0,0,0,0,resp_wrong,1,trial=26;correct_lane=3
2026-05-27T13:46:45.297065,113118.742602,-1,0,0,0,0,resp_wrong,0,trial=26;correct_lane=3
2026-05-27T13:46:45.450022,113118.895560,-1,0,0,0,0,resp_wrong,0,trial=26;correct_lane=3
2026-05-27T13:46:45.467248,113118.912785,-1,0,0,0,0,resp_wrong,1,trial=26;correct_lane=3
2026-05-27T13:46:45.552567,113118.998104,-1,0,0,0,0,resp_wrong,2,trial=26;correct_lane=3
2026-05-27T13:46:45.602818,113119.048357,-1,0,0,0,0,resp_wrong,0,trial=26;correct_lane=3
2026-05-27T13:46:45.773744,113119.219279,-1,0,0,0,0,resp_wrong,0,trial=26;correct_lane=3
2026-05-27T13:46:45.773752,113119.219283,-1,0,0,0,0,resp_wrong,1,trial=26;correct_lane=3
2026-05-27T13:46:45.807060,113119.252593,-1,0,0,0,0,resp_wrong,2,trial=26;correct_lane=3
2026-05-27T13:46:45.909236,113119.354769,-1,0,0,0,0,resp,3,rt_ms=798.86;grade=Late
2026-05-27T13:46:46.519574,113119.965099,-1,0,0,0,0,stim,2,trial=27
2026-05-27T13:46:46.741864,113120.187387,-1,0,0,0,0,resp_wrong,3,trial=27;correct_lane=2
2026-05-27T13:46:46.946119,113120.391639,-1,0,0,0,0,resp_wrong,3,trial=27;correct_lane=2
2026-05-27T13:46:47.133995,113120.579515,-1,0,0,0,0,resp,2,rt_ms=613.98;grade=Late
2026-05-27T13:46:47.745020,113121.190530,-1,0,0,0,0,stim,3,trial=28
2026-05-27T13:46:48.068891,113121.514397,-1,0,0,0,0,resp_wrong,2,trial=28;correct_lane=3
2026-05-27T13:46:48.272629,113121.718133,-1,0,0,0,0,resp,3,rt_ms=527.05;grade=Late
2026-05-27T13:46:48.883850,113122.329346,-1,0,0,0,0,stim,2,trial=29
2026-05-27T13:46:49.310212,113122.755703,-1,0,0,0,0,resp,2,rt_ms=425.79;grade=Good
2026-05-27T13:46:49.920520,113123.366002,-1,0,0,0,0,stim,2,trial=30
2026-05-27T13:46:50.297296,113123.742775,-1,0,0,0,0,resp,2,rt_ms=376.28;grade=Good
2026-05-27T13:46:50.908198,113124.353668,-1,0,0,0,0,stim,3,trial=31
2026-05-27T13:46:51.265377,113124.710843,-1,0,0,0,0,resp_wrong,2,trial=31;correct_lane=3
2026-05-27T13:46:51.401684,113124.847149,-1,0,0,0,0,resp,3,rt_ms=492.99;grade=Good
2026-05-27T13:46:52.013089,113125.458546,-1,0,0,0,0,stim,0,trial=32
2026-05-27T13:46:52.455104,113125.900555,-1,0,0,0,0,resp,0,rt_ms=441.54;grade=Good
2026-05-27T13:46:53.066317,113126.511762,-1,0,0,0,0,stim,1,trial=33
2026-05-27T13:46:53.525466,113126.970905,-1,0,0,0,0,resp,1,rt_ms=458.67;grade=Good
2026-05-27T13:46:54.137434,113127.582866,-1,0,0,0,0,stim,2,trial=34
